"Date: 2026-08-12+0000"
"Version: 7.2"
"Status: 
0 Normal
-1 Abandoned 
2 Completed"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId","projectKind"
"🤬ESCAPE","🍀NODE","노드 강의 [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:08+0000","2026-08-12T01:03:16+0000","-1099511627776","Asia/Seoul","true","false",,,"list","1","","TASK"
"🤬ESCAPE","🍀NODE","Node.js [4. Node.js가 뭐고 왜 좋은가요?] [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:05+0000","2026-08-12T01:03:16+0000","-1099511627776","Asia/Seoul","true","false",,,"list","2","1","TASK"
"🤬ESCAPE","🍀NODE","Node.js [5. 필수확인 - 질문하는 방법] [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:05+0000","2026-08-12T01:03:16+0000","-1099511627776","Asia/Seoul","true","false",,,"list","3","1","TASK"
"🤬ESCAPE","🍀NODE","Node.js [1. 강의소개] [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:05+0000","2026-08-12T01:03:33+0000","-1099511627776","Asia/Seoul","true","false",,,"list","4","1","TASK"
"🤬ESCAPE","🍀NODE","Node.js [2. 예제코드 링크] [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:05+0000","2026-08-12T01:03:16+0000","-1099511627776","Asia/Seoul","true","false",,,"list","5","1","TASK"
"🤬ESCAPE","🍀NODE","Node.js [28. package.json] [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:05+0000","2026-08-12T01:03:16+0000","-1099511627776","Asia/Seoul","true","false",,,"list","6","1","TASK"
"🤬ESCAPE","🍀NODE","Node.js [26. child_process와 cluster 모듈] [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:05+0000","2026-08-12T01:03:16+0000","-1099511627776","Asia/Seoul","true","false",,,"list","7","1","TASK"
"🤬ESCAPE","🍀NODE","Node.js [27. worker_threads] [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:05+0000","2026-08-12T01:03:16+0000","-1099511627776","Asia/Seoul","true","false",,,"list","8","1","TASK"
"🤬ESCAPE","🍀NODE","Node.js [24. 이벤트 루프] [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:05+0000","2026-08-12T01:03:16+0000","-1099511627776","Asia/Seoul","true","false",,,"list","9","1","TASK"
"🤬ESCAPE","🍀NODE","Node.js [25. EventEmitter] [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:05+0000","2026-08-12T01:03:16+0000","-1099511627776","Asia/Seoul","true","false",,,"list","10","1","TASK"
"🤬ESCAPE","🍀NODE","Node.js [23. Call Stack] [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:05+0000","2026-08-12T01:03:16+0000","-1099511627776","Asia/Seoul","true","false",,,"list","11","1","TASK"
"🤬ESCAPE","🍀NODE","Node.js [21. process와 환경변수] [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:05+0000","2026-08-12T01:03:16+0000","-1099511627776","Asia/Seoul","true","false",,,"list","12","1","TASK"
"🤬ESCAPE","🍀NODE","Node.js [22. global, this, console] [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:05+0000","2026-08-12T01:03:16+0000","-1099511627776","Asia/Seoul","true","false",,,"list","13","1","TASK"
"🤬ESCAPE","🍀NODE","Node.js [19. 버퍼와 스트림] [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:05+0000","2026-08-12T01:03:16+0000","-1099511627776","Asia/Seoul","true","false",,,"list","14","1","TASK"
"🤬ESCAPE","🍀NODE","Node.js [20. url, dns, util, os 모듈] [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:05+0000","2026-08-12T01:03:16+0000","-1099511627776","Asia/Seoul","true","false",,,"list","15","1","TASK"
"🤬ESCAPE","🍀NODE","Node.js [17. HTTP] [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:05+0000","2026-08-12T01:03:16+0000","-1099511627776","Asia/Seoul","true","false",,,"list","16","1","TASK"
"🤬ESCAPE","🍀NODE","Node.js [18. 부록 - REST API] [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:05+0000","2026-08-12T01:03:16+0000","-1099511627776","Asia/Seoul","true","false",,,"list","17","1","TASK"
"🤬ESCAPE","🍀NODE","Node.js [15. 파일 시스템 이벤트 (+ 사용자 입력 받기)] [🤬ESCAPE/🍀NODE.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%80NODE.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:03:05+0000","2026-08-12T01:03:16+0000","-1099511627776","Asia/Seoul","true","false",,,"list","18","1","TASK"
